task_id,release_id,char_id,section_id,task_name,member_id,start_date,end_date,progress,lane,dependencies,status_id
TSK_00021,R_001,C_001,S_005,背景モデル,M_009,2026-08-21,2026-09-04,50,,,ST_003
TSK_00042,R_001,C_002,S_005,背景モデル,M_010,2026-08-21,2026-09-04,50,,,ST_002
TSK_00063,R_002,C_003,S_005,背景モデル,M_010,2026-09-20,2026-10-04,50,,,ST_003
TSK_00084,R_002,C_004,S_005,背景モデル,M_010,2026-09-20,2026-10-04,20,,,ST_002
TSK_00105,R_003,C_005,S_005,背景モデル,M_010,2026-10-20,2026-11-03,0,,,ST_001
TSK_00126,R_003,C_006,S_005,背景モデル,M_009,2026-10-20,2026-11-03,0,,,ST_001
TSK_00147,R_004,C_007,S_005,背景モデル,M_009,2026-11-19,2026-12-03,0,,,ST_001
TSK_00168,R_004,C_008,S_005,背景モデル,M_010,2026-11-19,2026-12-03,0,,,ST_001
TSK_00189,R_005,C_009,S_005,背景モデル,M_009,2026-12-19,2027-01-02,0,,,ST_001
TSK_00210,R_005,C_010,S_005,背景モデル,M_010,2026-12-19,2027-01-02,0,,,ST_001
TSK_00231,R_006,C_011,S_005,背景モデル,M_010,2027-01-18,2027-02-01,0,,,ST_001
TSK_00252,R_006,C_012,S_005,背景モデル,M_009,2027-01-18,2027-02-01,0,,,ST_001
TSK_00273,R_007,C_013,S_005,背景モデル,M_009,2027-02-17,2027-03-03,0,,,ST_001
TSK_00294,R_007,C_014,S_005,背景モデル,M_009,2027-02-17,2027-03-03,0,,,ST_001
TSK_00315,R_008,C_015,S_005,背景モデル,M_009,2027-03-19,2027-04-02,0,,,ST_001
TSK_00336,R_008,C_016,S_005,背景モデル,M_009,2027-03-19,2027-04-02,0,,,ST_001
TSK_00357,R_009,C_017,S_005,背景モデル,M_010,2027-04-18,2027-05-02,0,,,ST_001
TSK_00378,R_009,C_018,S_005,背景モデル,M_009,2027-04-18,2027-05-02,0,,,ST_001
TSK_00399,R_010,C_019,S_005,背景モデル,M_009,2027-05-18,2027-06-01,0,,,ST_001
TSK_00420,R_010,C_020,S_005,背景モデル,M_009,2027-05-18,2027-06-01,0,,,ST_001
TSK_00441,R_011,C_021,S_005,背景モデル,M_009,2027-06-17,2027-07-01,0,,,ST_001
TSK_00462,R_011,C_022,S_005,背景モデル,M_009,2027-06-17,2027-07-01,0,,,ST_001
TSK_00483,R_012,C_023,S_005,背景モデル,M_009,2027-07-17,2027-07-31,0,,,ST_001
TSK_00504,R_012,C_024,S_005,背景モデル,M_009,2027-07-17,2027-07-31,0,,,ST_001
TSK_00525,R_013,C_025,S_005,背景モデル,M_010,2027-08-16,2027-08-30,0,,,ST_001
TSK_00546,R_013,C_026,S_005,背景モデル,M_010,2027-08-16,2027-08-30,0,,,ST_001
TSK_00567,R_014,C_027,S_005,背景モデル,M_010,2027-09-15,2027-09-29,0,,,ST_001
TSK_00588,R_014,C_028,S_005,背景モデル,M_009,2027-09-15,2027-09-29,0,,,ST_001
TSK_00609,R_015,C_029,S_005,背景モデル,M_009,2027-10-15,2027-10-29,0,,,ST_001
TSK_00630,R_015,C_030,S_005,背景モデル,M_010,2027-10-15,2027-10-29,0,,,ST_001
TSK_00651,R_016,C_031,S_005,背景モデル,M_009,2027-11-14,2027-11-28,0,,,ST_001
TSK_00672,R_016,C_032,S_005,背景モデル,M_010,2027-11-14,2027-11-28,0,,,ST_001
TSK_00693,R_017,C_033,S_005,背景モデル,M_009,2027-12-14,2027-12-28,0,,,ST_001
TSK_00714,R_017,C_034,S_005,背景モデル,M_010,2027-12-14,2027-12-28,0,,,ST_001
TSK_00735,R_018,C_035,S_005,背景モデル,M_010,2028-01-13,2028-01-27,0,,,ST_001
TSK_00756,R_018,C_036,S_005,背景モデル,M_009,2028-01-13,2028-01-27,0,,,ST_001
TSK_00777,R_019,C_037,S_005,背景モデル,M_010,2028-02-12,2028-02-26,0,,,ST_001
TSK_00798,R_019,C_038,S_005,背景モデル,M_009,2028-02-12,2028-02-26,0,,,ST_001
TSK_00819,R_020,C_039,S_005,背景モデル,M_010,2028-03-13,2028-03-27,0,,,ST_001
TSK_00840,R_020,C_040,S_005,背景モデル,M_009,2028-03-13,2028-03-27,0,,,ST_001
TSK_00861,R_021,C_041,S_005,背景モデル,M_010,2028-04-12,2028-04-26,0,,,ST_001
TSK_00882,R_021,C_042,S_005,背景モデル,M_009,2028-04-12,2028-04-26,0,,,ST_001
TSK_00903,R_022,C_043,S_005,背景モデル,M_010,2028-05-12,2028-05-26,0,,,ST_001
TSK_00924,R_022,C_044,S_005,背景モデル,M_010,2028-05-12,2028-05-26,0,,,ST_001
TSK_00945,R_023,C_045,S_005,背景モデル,M_010,2028-06-11,2028-06-25,0,,,ST_001
TSK_00966,R_023,C_046,S_005,背景モデル,M_010,2028-06-11,2028-06-25,0,,,ST_001
TSK_00987,R_024,C_047,S_005,背景モデル,M_010,2028-07-11,2028-07-25,0,,,ST_001
TSK_01008,R_024,C_048,S_005,背景モデル,M_010,2028-07-11,2028-07-25,0,,,ST_001
